imagen,split,fuente,brillo,contraste,nitidez,ruido,calidad
0001001.jpg,val,Handrise-Read-write+BowTurnHead,99.28,85.13,455.04,0.58,apta
0001002.jpg,val,Handrise-Read-write+BowTurnHead,91.37,86.04,425.57,0.55,apta
0001003.jpg,val,Handrise-Read-write+BowTurnHead,87.43,83.16,343.29,0.4,apta
0001004.jpg,val,Handrise-Read-write+BowTurnHead,124.82,68.73,805.17,1.47,apta
0001005.jpg,val,Handrise-Read-write+BowTurnHead,126.96,69.66,1259.72,1.44,apta
0001006.jpg,val,Handrise-Read-write+BowTurnHead,126.08,69.08,1475.42,1.53,apta
0001007.jpg,val,Handrise-Read-write+BowTurnHead,124.67,67.79,1493.55,1.41,apta
0001008.jpg,val,Handrise-Read-write+BowTurnHead,91.74,81.64,1510.94,1.41,apta
0001009.jpg,val,Handrise-Read-write+BowTurnHead,118.76,77.41,1321.93,1.1,apta
0001010.jpg,val,Handrise-Read-write+BowTurnHead,89.83,69.53,1382.82,1.63,apta
0001011.jpg,val,Handrise-Read-write,75.16,83.6,93.39,0.33,no apta
0001014.jpg,val,Handrise-Read-write,99.27,76.75,758.05,0.38,apta
0001020.jpg,val,Handrise-Read-write+BowTurnHead,114.74,63.35,1204.55,1.09,apta
0001021.jpg,val,Handrise-Read-write,133.63,52.6,156.39,0.18,apta
0001022.jpg,val,Handrise-Read-write+BowTurnHead,121.96,66.4,350.68,0.49,apta
0001023.jpg,val,Handrise-Read-write,124.17,73.0,564.39,0.59,apta
0001024.jpg,val,Handrise-Read-write+BowTurnHead,114.4,63.49,936.46,1.02,apta
0001025.jpg,val,Handrise-Read-write+BowTurnHead,115.12,63.25,1076.58,1.04,apta
0001026.jpg,val,Handrise-Read-write+BowTurnHead,114.93,63.85,975.51,0.99,apta
0001027.jpg,val,Handrise-Read-write+BowTurnHead,113.49,63.14,1056.66,1.02,apta
0001028.jpg,val,Handrise-Read-write+BowTurnHead,120.59,62.72,334.86,0.39,apta
0001029.jpg,val,Handrise-Read-write+BowTurnHead,124.45,69.32,371.79,0.42,apta
0001030.jpg,val,Handrise-Read-write,114.69,61.28,1020.91,0.98,apta
0001031.jpg,val,Handrise-Read-write+BowTurnHead,113.52,61.91,1040.85,0.98,apta
0001032.jpg,val,Handrise-Read-write+BowTurnHead,114.08,61.67,1098.41,0.98,apta
0001033.jpg,val,Handrise-Read-write+BowTurnHead,113.59,61.67,924.9,1.01,apta
0001034.jpg,val,Handrise-Read-write+BowTurnHead,113.17,66.24,402.15,0.75,apta
0001035.jpg,val,Handrise-Read-write+BowTurnHead,127.41,68.96,441.41,0.78,apta
0001036.jpg,val,Handrise-Read-write+BowTurnHead,100.71,73.44,622.13,0.58,apta
0001037.jpg,val,Handrise-Read-write,100.31,59.42,386.72,0.51,apta
0001038.jpg,val,Handrise-Read-write+BowTurnHead,103.37,73.85,588.12,0.64,apta
0001039.jpg,val,Handrise-Read-write+BowTurnHead,119.82,56.7,413.03,0.75,apta
0001040.jpg,val,Handrise-Read-write,127.43,77.97,787.99,0.68,apta
0001041.jpg,val,Handrise-Read-write+BowTurnHead,145.0,71.44,764.72,1.19,apta
0001042.jpg,val,Handrise-Read-write,147.36,67.45,1299.86,1.21,apta
0001043.jpg,val,Handrise-Read-write+BowTurnHead,135.64,73.96,508.17,0.59,apta
0001044.jpg,val,Handrise-Read-write,147.28,68.38,409.45,0.53,apta
0001045.jpg,val,Handrise-Read-write+BowTurnHead,150.45,69.06,391.52,0.77,apta
0001046.jpg,val,Handrise-Read-write+BowTurnHead,149.58,69.12,456.49,0.76,apta
0001047.jpg,val,Handrise-Read-write+BowTurnHead,137.38,68.46,389.65,0.72,apta
0001048.jpg,val,Handrise-Read-write+BowTurnHead,124.77,70.91,464.86,0.45,apta
0001049.jpg,val,Handrise-Read-write+BowTurnHead,126.95,69.01,510.73,0.72,apta
0001052.jpg,val,Handrise-Read-write+BowTurnHead,122.09,54.55,379.64,0.6,apta
0001053.jpg,val,Handrise-Read-write+BowTurnHead,118.24,54.82,353.82,0.57,apta
0001054.jpg,val,Handrise-Read-write+BowTurnHead,116.69,55.63,354.82,0.55,apta
0001055.jpg,val,Handrise-Read-write,115.88,56.67,319.1,0.45,apta
0001056.jpg,val,Handrise-Read-write+BowTurnHead,117.35,53.28,426.12,0.51,apta
0001057.jpg,val,Handrise-Read-write,113.14,56.14,441.8,0.45,apta
0001058.jpg,val,Handrise-Read-write+BowTurnHead,121.59,55.07,428.74,0.54,apta
0001059.jpg,val,Handrise-Read-write,121.68,55.95,424.2,0.61,apta
0001060.jpg,val,Handrise-Read-write,115.63,54.18,481.55,0.57,apta
0001061.jpg,val,Handrise-Read-write+BowTurnHead,121.65,55.76,428.32,0.64,apta
0001062.jpg,val,Handrise-Read-write,113.36,54.78,355.96,0.47,apta
0001063.jpg,val,Handrise-Read-write,148.53,62.09,489.19,0.47,apta
0001064.jpg,val,Handrise-Read-write+BowTurnHead,128.39,53.38,616.42,0.74,apta
0001065.jpg,val,Handrise-Read-write+BowTurnHead,147.71,67.0,843.15,0.56,apta
0001066.jpg,val,Handrise-Read-write+BowTurnHead,135.64,62.31,605.38,0.74,apta
0001067.jpg,val,Handrise-Read-write,107.8,74.55,237.83,0.5,apta
0001068.jpg,val,Handrise-Read-write,112.99,43.0,593.72,0.9,apta
0001069.jpg,val,Handrise-Read-write+BowTurnHead,106.93,54.78,1085.32,0.96,apta
0001070.jpg,val,Handrise-Read-write,121.14,48.42,244.68,0.56,apta
0001071.jpg,val,Handrise-Read-write+BowTurnHead,115.16,45.55,538.33,0.83,apta
0001072.jpg,val,Handrise-Read-write+BowTurnHead,104.42,51.88,553.94,0.92,apta
0001073.jpg,val,Handrise-Read-write,111.85,51.21,555.42,0.89,apta
0001074.jpg,val,Handrise-Read-write,140.28,83.81,734.59,0.36,apta
0001075.jpg,val,Handrise-Read-write+BowTurnHead,155.37,64.09,539.62,0.83,apta
0001076.jpg,val,Handrise-Read-write+BowTurnHead,156.31,64.37,712.64,0.84,apta
0001077.jpg,val,Handrise-Read-write+BowTurnHead,159.57,60.29,337.06,0.77,apta
0001078.jpg,val,Handrise-Read-write,132.51,81.47,477.53,0.47,apta
0001079.jpg,val,Handrise-Read-write,153.7,67.85,443.18,0.78,apta
0001080.jpg,val,Handrise-Read-write,133.46,82.22,750.74,0.42,apta
0001081.jpg,val,Handrise-Read-write+BowTurnHead,156.07,68.86,639.15,0.76,apta
0001082.jpg,val,Handrise-Read-write+BowTurnHead,157.39,62.96,815.73,0.9,apta
0001083.jpg,val,Handrise-Read-write+BowTurnHead,141.49,68.36,1040.94,0.89,apta
0001084.jpg,val,Handrise-Read-write+BowTurnHead,127.25,63.83,1031.82,0.95,apta
0001085.jpg,val,Handrise-Read-write+BowTurnHead,108.6,65.24,1100.86,1.13,apta
0001086.jpg,val,Handrise-Read-write+BowTurnHead,125.79,68.79,899.69,0.75,apta
0001087.jpg,val,Handrise-Read-write,133.06,72.9,676.22,0.47,apta
0001088.jpg,val,Handrise-Read-write+BowTurnHead,116.77,77.82,1058.02,0.71,apta
0001089.jpg,val,Handrise-Read-write,121.03,74.28,1451.13,1.03,apta
0002001.jpg,val,Handrise-Read-write+BowTurnHead,113.21,71.41,399.25,0.54,apta
0002002.jpg,val,Handrise-Read-write+BowTurnHead,108.03,58.87,823.49,1.06,apta
0002003.jpg,val,Handrise-Read-write,135.14,76.06,444.91,0.63,apta
0002004.jpg,val,Handrise-Read-write+BowTurnHead,146.08,72.49,865.9,0.86,apta
0002005.jpg,val,Handrise-Read-write,122.65,78.46,549.27,0.69,apta
0002006.jpg,val,Handrise-Read-write+BowTurnHead,142.24,74.13,586.17,0.68,apta
0002007.jpg,val,Handrise-Read-write,134.11,73.78,458.36,0.62,apta
0002008.jpg,val,Handrise-Read-write+BowTurnHead,136.59,79.42,527.21,0.69,apta
0002009.jpg,val,Handrise-Read-write,113.95,77.69,466.06,0.61,apta
0002011.jpg,val,Handrise-Read-write+BowTurnHead,159.61,67.43,1953.0,1.41,apta
0002012.jpg,val,Handrise-Read-write,145.23,61.09,911.33,0.92,apta
0002013.jpg,val,Handrise-Read-write,145.26,58.29,1219.51,1.06,apta
0002014.jpg,val,Handrise-Read-write,154.9,65.52,1970.23,1.48,apta
0002015.jpg,val,Handrise-Read-write+BowTurnHead,157.47,60.28,1085.72,1.07,apta
0002016.jpg,val,Handrise-Read-write+BowTurnHead,145.97,57.4,1386.65,1.07,apta
0002017.jpg,val,Handrise-Read-write+BowTurnHead,154.3,61.04,1467.37,1.04,apta
0002018.jpg,val,Handrise-Read-write+BowTurnHead,137.43,59.51,1251.49,1.16,apta
0002019.jpg,val,Handrise-Read-write+BowTurnHead,108.48,79.94,965.12,1.0,apta
0002020.jpg,val,Handrise-Read-write,122.59,83.86,799.09,0.78,apta
0002021.jpg,val,Handrise-Read-write,106.97,66.92,630.87,0.64,apta
0002022.jpg,val,Handrise-Read-write,107.55,82.9,1109.13,0.73,apta
0002023.jpg,val,Handrise-Read-write,137.24,91.41,671.23,0.71,apta
0002024.jpg,val,Handrise-Read-write,77.22,85.96,586.26,0.7,apta
0002025.jpg,val,Handrise-Read-write+BowTurnHead,105.31,96.06,2750.58,1.61,apta
0002026.jpg,val,Handrise-Read-write,98.7,68.72,1251.87,1.15,apta
0002027.jpg,val,Handrise-Read-write+BowTurnHead,96.17,69.6,898.53,0.8,apta
0002028.jpg,val,Handrise-Read-write,88.81,65.75,1058.7,0.97,apta
0002029.jpg,val,Handrise-Read-write,162.38,77.36,1519.89,1.15,apta
0002030.jpg,val,Handrise-Read-write+BowTurnHead,133.86,69.49,933.36,0.99,apta
0002031.jpg,val,Handrise-Read-write+BowTurnHead,144.87,71.26,856.2,1.01,apta
0002032.jpg,val,Handrise-Read-write+BowTurnHead,120.03,71.22,2012.03,1.83,apta
0002033.jpg,val,Handrise-Read-write+BowTurnHead,142.88,75.28,2919.56,1.92,apta
0002034.jpg,val,Handrise-Read-write+BowTurnHead,124.25,74.05,2092.34,1.52,apta
0002035.jpg,val,Handrise-Read-write+BowTurnHead,114.26,80.27,3222.52,2.78,apta
0002036.jpg,val,Handrise-Read-write+BowTurnHead,124.61,73.05,623.58,0.8,apta
0002037.jpg,val,Handrise-Read-write+BowTurnHead,108.21,73.48,567.49,0.77,apta
0002038.jpg,val,Handrise-Read-write,106.46,73.54,532.04,0.69,apta
0002039.jpg,val,Handrise-Read-write,107.62,72.38,613.74,0.75,apta
0002040.jpg,val,Handrise-Read-write,104.12,60.91,643.17,0.87,apta
0002042.jpg,val,Handrise-Read-write,102.8,58.29,762.37,0.68,apta
0002043.jpg,val,Handrise-Read-write+BowTurnHead,127.35,54.65,496.94,0.86,apta
0002044.jpg,val,Handrise-Read-write,105.69,55.74,497.93,0.66,apta
0002046.jpg,val,Handrise-Read-write,101.01,57.87,683.06,0.59,apta
0002047.jpg,val,Handrise-Read-write+BowTurnHead,106.97,61.65,619.32,0.85,apta
0002049.jpg,val,Handrise-Read-write+BowTurnHead,119.13,55.54,331.68,0.69,apta
0002050.jpg,val,Handrise-Read-write+BowTurnHead,109.55,61.13,1003.08,0.63,apta
0002051.jpg,val,Handrise-Read-write+BowTurnHead,109.29,63.97,910.44,1.39,apta
0002052.jpg,val,Handrise-Read-write,112.54,62.98,1382.36,1.34,apta
0002053.jpg,val,Handrise-Read-write+BowTurnHead,92.39,69.18,638.17,0.65,apta
0002054.jpg,val,Handrise-Read-write+BowTurnHead,102.28,75.77,1219.69,1.29,apta
0002055.jpg,val,Handrise-Read-write+BowTurnHead,80.79,75.15,876.01,0.95,apta
0002056.jpg,val,Handrise-Read-write+BowTurnHead,92.78,87.99,1421.58,1.34,apta
0002057.jpg,val,Handrise-Read-write+BowTurnHead,136.54,52.04,799.43,0.91,apta
0002058.jpg,val,Handrise-Read-write+BowTurnHead,138.73,55.92,427.02,0.79,apta
0002059.jpg,val,Handrise-Read-write+BowTurnHead,86.31,50.61,457.65,0.69,apta
0002060.jpg,val,Handrise-Read-write+BowTurnHead,83.56,55.0,265.04,0.67,apta
0002061.jpg,val,Handrise-Read-write+BowTurnHead,110.73,69.68,1318.52,2.19,apta
0002062.jpg,val,Handrise-Read-write+BowTurnHead,109.94,70.55,1685.12,2.44,apta
0002063.jpg,val,Handrise-Read-write+BowTurnHead,104.41,70.79,1843.88,2.31,apta
0002064.jpg,val,Handrise-Read-write+BowTurnHead,97.35,74.97,993.12,1.26,apta
0002065.jpg,val,Handrise-Read-write+BowTurnHead,85.85,67.77,686.35,0.81,apta
0002066.jpg,val,Handrise-Read-write+BowTurnHead,85.03,58.85,789.37,1.63,apta
