epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1589,1.48177,2.75619,1.35576,0.1824,0.25581,0.18146,0.10138,1.394,2.46015,1.34591,0.000369266,0.000369266,0.000369266
2,160.163,1.36319,2.1051,1.28698,0.34957,0.28897,0.21078,0.11902,1.42698,2.3447,1.39459,0.000721294,0.000721294,0.000721294
3,229.249,1.34134,1.96564,1.2827,0.26959,0.39108,0.23502,0.13655,1.4281,2.1946,1.39425,0.00105499,0.00105499,0.00105499
4,328.36,1.30258,1.84677,1.26326,0.28659,0.39599,0.27485,0.16454,1.32355,2.1061,1.33756,0.00102851,0.00102851,0.00102851
5,397.231,1.27621,1.7658,1.25054,0.32177,0.39029,0.28173,0.17242,1.28177,2.08051,1.30528,0.00100101,0.00100101,0.00100101
6,466.437,1.24256,1.68618,1.229,0.31637,0.39205,0.28878,0.17772,1.27218,2.03449,1.30149,0.000973514,0.000973514,0.000973514
7,565.391,1.22123,1.65313,1.22089,0.27487,0.4491,0.29289,0.18394,1.27189,2.07723,1.31562,0.000946016,0.000946016,0.000946016
8,634.15,1.19746,1.60153,1.2082,0.3283,0.37845,0.28892,0.18146,1.25697,2.06453,1.2917,0.000918519,0.000918519,0.000918519
9,702.636,1.17893,1.5697,1.19615,0.30544,0.45009,0.33901,0.21764,1.24417,2.01236,1.27334,0.000891022,0.000891022,0.000891022
10,771.334,1.1648,1.51584,1.18657,0.35211,0.41776,0.34082,0.22338,1.21651,1.98014,1.27348,0.000863525,0.000863525,0.000863525
11,870.088,1.15027,1.49408,1.18029,0.40013,0.42162,0.33648,0.21472,1.20242,1.95855,1.26719,0.000836027,0.000836027,0.000836027
12,938.793,1.12976,1.46667,1.16997,0.3712,0.41175,0.33807,0.21984,1.21089,1.84533,1.26461,0.00080853,0.00080853,0.00080853
13,1007.37,1.1238,1.43918,1.16448,0.35745,0.46645,0.37656,0.24697,1.18015,1.78464,1.24798,0.000781033,0.000781033,0.000781033
14,1076.02,1.10846,1.4202,1.15732,0.39482,0.45013,0.3966,0.26561,1.16611,1.73893,1.23155,0.000753536,0.000753536,0.000753536
15,1174.82,1.10049,1.39943,1.15386,0.36707,0.43473,0.35084,0.23134,1.18362,1.87686,1.25462,0.000726038,0.000726038,0.000726038
16,1243.77,1.09264,1.3765,1.14802,0.40951,0.43484,0.37944,0.25062,1.16012,1.85467,1.24401,0.000698541,0.000698541,0.000698541
17,1312.45,1.07058,1.35161,1.13936,0.40527,0.47139,0.40909,0.27568,1.13045,1.67795,1.20001,0.000671044,0.000671044,0.000671044
18,1411.3,1.06238,1.32799,1.1295,0.4042,0.43635,0.37297,0.25216,1.12904,1.81735,1.21339,0.000643547,0.000643547,0.000643547
19,1479.91,1.06183,1.32191,1.12775,0.39748,0.3891,0.34777,0.2331,1.1578,1.97432,1.22301,0.000616049,0.000616049,0.000616049
20,1548.62,1.05984,1.30576,1.12954,0.43087,0.44878,0.39354,0.2673,1.13068,1.82089,1.21131,0.000588552,0.000588552,0.000588552
21,1617.28,1.04377,1.28744,1.11761,0.44539,0.44149,0.39515,0.26954,1.11635,1.81125,1.20214,0.000561055,0.000561055,0.000561055
22,1716.11,1.0335,1.27275,1.11348,0.43176,0.44064,0.39847,0.26721,1.12166,1.72649,1.20051,0.000533558,0.000533558,0.000533558
23,1784.64,1.0239,1.25361,1.10595,0.43415,0.47564,0.42512,0.29237,1.10093,1.68697,1.19292,0.00050606,0.00050606,0.00050606
24,1853.18,1.0116,1.23146,1.10067,0.41358,0.43998,0.38922,0.26496,1.11364,1.82214,1.19478,0.000478563,0.000478563,0.000478563
25,1951.99,1.01352,1.22631,1.1006,0.45609,0.41969,0.40128,0.27277,1.10508,1.73733,1.19985,0.000451066,0.000451066,0.000451066
26,2020.81,1.00111,1.2055,1.09708,0.43228,0.42008,0.39839,0.27343,1.10785,1.86817,1.19402,0.000423569,0.000423569,0.000423569
27,2089.3,0.9973,1.20073,1.09354,0.43655,0.43989,0.4011,0.27881,1.0808,1.77087,1.17946,0.000396071,0.000396071,0.000396071
28,2157.77,0.98689,1.18243,1.08563,0.4287,0.44777,0.39248,0.27331,1.08653,1.81644,1.18154,0.000368574,0.000368574,0.000368574
29,2256.38,0.9797,1.18237,1.08652,0.42263,0.4252,0.39491,0.27435,1.09516,1.80663,1.18924,0.000341077,0.000341077,0.000341077
30,2324.85,0.97156,1.15762,1.07816,0.44745,0.46965,0.43342,0.30009,1.08501,1.70056,1.18399,0.00031358,0.00031358,0.00031358
31,2392.83,0.91212,1.06973,1.05246,0.45277,0.42433,0.39765,0.27444,1.09203,1.79013,1.18111,0.000286083,0.000286083,0.000286083
32,2460.52,0.90069,1.04745,1.04554,0.4603,0.45447,0.42137,0.29471,1.07386,1.73365,1.17516,0.000258585,0.000258585,0.000258585
33,2558.29,0.88698,1.02341,1.0399,0.45518,0.454,0.42076,0.29255,1.08192,1.76958,1.18467,0.000231088,0.000231088,0.000231088
34,2625.84,0.87618,0.99938,1.03754,0.44741,0.44517,0.41601,0.28911,1.0727,1.79153,1.17192,0.000203591,0.000203591,0.000203591
35,2693.47,0.86901,0.98637,1.0305,0.45821,0.43121,0.41445,0.28799,1.08118,1.77994,1.17978,0.000176094,0.000176094,0.000176094
36,2760.93,0.86139,0.97003,1.02624,0.4677,0.4428,0.41808,0.29229,1.06928,1.75668,1.17085,0.000148596,0.000148596,0.000148596
37,2858.52,0.85783,0.95828,1.02051,0.45621,0.44848,0.41533,0.29033,1.07018,1.7645,1.17298,0.000121099,0.000121099,0.000121099
